City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Bonfim,BR,3.0833,-59.95,82.08,66,86,1.45,light rain
193,Serenje,ZM,-13.2325,30.2352,63.25,67,2,4.0,clear sky
194,Pangnirtung,CA,66.1451,-65.7125,-5.3,92,40,6.29,scattered clouds
195,Chuy,UY,-33.6971,-53.4616,63.46,66,62,3.31,broken clouds
196,Svirsk,RU,53.0858,103.3325,21.81,64,66,4.72,broken clouds
197,Bhadrachalam,IN,17.6667,80.8833,68.13,64,100,3.69,overcast clouds
198,Pamanukan,ID,-6.2842,107.8106,84.78,66,100,6.55,overcast clouds
199,Saskylakh,RU,71.9167,114.0833,-36.94,100,24,4.09,few clouds
200,Timizart,DZ,36.8,4.2667,60.03,75,3,6.17,clear sky
201,Akdepe,TM,42.0551,59.3788,42.66,62,100,6.24,overcast clouds
202,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
203,Malaut,IN,30.2167,74.4833,63.99,31,3,1.5,clear sky
204,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,0,7.0,clear sky
205,Singkawang,ID,0.9,109.0,78.6,88,100,1.81,overcast clouds
206,Omboue,GA,-1.5746,9.2618,73.8,92,99,3.89,overcast clouds
207,Upernavik,GL,72.7868,-56.1549,10.27,71,56,4.36,broken clouds
208,Ancud,CL,-41.8697,-73.8203,58.23,96,100,4.79,overcast clouds
209,Caucaia,BR,-3.7361,-38.6531,81.03,73,40,9.22,scattered clouds
210,Takoradi,GH,4.8845,-1.7554,77.68,83,95,5.03,overcast clouds
211,Bluff,NZ,-46.6,168.3333,58.8,86,95,13.04,overcast clouds
212,Rawson,AR,-43.3002,-65.1023,64.51,73,96,6.24,overcast clouds
213,Lazarev,RU,52.225,141.5131,24.76,79,100,7.45,overcast clouds
214,Bambous Virieux,MU,-20.3428,57.7575,75.22,59,1,4.0,clear sky
215,Ghanzi,BW,-21.5667,21.7833,75.83,28,0,7.43,clear sky
216,Poya,NC,-21.35,165.15,81.46,66,44,10.0,scattered clouds
217,Codrington,AU,-38.2667,141.9667,67.8,59,40,9.69,scattered clouds
218,Bubaque,GW,11.2833,-15.8333,83.07,74,99,9.64,overcast clouds
219,Vilyuysk,RU,63.7553,121.6247,-11.61,93,43,6.04,scattered clouds
220,Rantepao,ID,-2.9701,119.8978,82.08,60,98,3.87,overcast clouds
221,Sistranda,NO,63.7256,8.834,40.96,45,89,28.03,overcast clouds
222,Atar,MR,20.5169,-13.0499,72.32,19,0,8.59,clear sky
223,Umm Lajj,SA,25.0213,37.2685,72.01,58,74,7.31,broken clouds
224,Hobyo,SO,5.3505,48.5268,80.51,72,99,12.8,overcast clouds
225,Westport,US,41.1415,-73.3579,39.74,66,0,8.05,clear sky
226,Sampit,ID,-2.5333,112.95,75.96,95,100,2.75,overcast clouds
227,Flin Flon,CA,54.7682,-101.865,10.9,82,100,10.04,overcast clouds
228,Clyde River,CA,70.4692,-68.5914,-15.03,95,44,4.85,scattered clouds
229,Mar Del Plata,AR,-38.0023,-57.5575,60.94,89,0,17.0,light rain
230,Lichuan,CN,30.3,108.85,50.25,91,99,1.77,overcast clouds
231,Neiafu,TO,-18.65,-173.9833,79.2,72,10,5.32,clear sky
232,Catamarca,AR,-28.4696,-65.7852,87.06,33,0,18.14,clear sky
233,Turukhansk,RU,65.8167,87.9833,6.69,88,100,24.61,light snow
234,Hithadhoo,MV,-0.6,73.0833,81.32,75,11,14.07,few clouds
235,Severnoye,RU,56.3491,78.3619,-7.94,97,5,0.54,clear sky
236,Batemans Bay,AU,-35.7167,150.1833,66.09,51,11,9.35,few clouds
237,La Ronge,CA,55.1001,-105.2842,14.47,84,100,11.9,overcast clouds
238,Matam,SN,15.6175,-13.3303,78.93,17,8,11.05,clear sky
239,Midland,US,31.9974,-102.0779,45.48,48,0,8.05,clear sky
240,Kodinsk,RU,58.6881,99.1844,-1.35,87,6,3.24,clear sky
241,Katsuura,JP,35.1333,140.3,61.38,65,90,11.59,overcast clouds
242,Tautira,PF,-17.7333,-149.15,76.44,86,71,9.62,light rain
243,Amapa,BR,1.0,-52.0,73.78,90,100,3.24,overcast clouds
244,Aklavik,CA,68.2191,-135.0107,10.92,80,49,6.71,scattered clouds
245,Meulaboh,ID,4.1363,96.1285,79.05,80,98,2.86,overcast clouds
246,Fiche,ET,9.8,38.7333,43.39,60,0,2.13,clear sky
247,Dalbandin,PK,28.8947,64.4101,61.25,17,85,4.52,overcast clouds
248,Northam,GB,51.0333,-4.2167,50.61,87,55,20.36,light rain
