City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Meulaboh,ID,79.05,overcast clouds,4.1363,96.1285,Kost Pria
246,Fiche,ET,43.39,clear sky,9.8,38.7333,Feezone hotel
247,Dalbandin,PK,61.25,overcast clouds,28.8947,64.4101,Sanjrani House
248,Northam,GB,50.61,light rain,51.0333,-4.2167,Durrant House Hotel
249,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
250,Tartagal,AR,77.94,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
251,Ouallam,NE,71.4,clear sky,14.3188,2.0866,
253,Tuatapere,NZ,56.86,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
254,Longyearbyen,SJ,24.64,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
255,Tamandare,BR,75.83,few clouds,-8.7597,-35.1047,Baia Branca Beach Resort
256,Waddan,LY,61.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
257,Xuzhou,CN,58.62,overcast clouds,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
258,Husavik,IS,43.63,overcast clouds,66.0449,-17.3389,Bjarnabúð
259,Emba,KZ,27.46,overcast clouds,48.8264,58.1442,Ozera Chernyy
261,Hit,IQ,60.03,clear sky,33.6416,42.8251,المعلق حسان رزاق
262,Kjollefjord,NO,35.65,overcast clouds,70.9457,27.3465,Hotel Nordkyn
263,Usinsk,RU,21.38,light snow,65.9939,57.5281,Dobro Pozhalovaty
264,Jiangyou,CN,61.5,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
265,Sisimiut,GL,18.27,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
266,Borger,NL,44.8,overcast clouds,52.9233,6.7931,Roompot Bospark Lunsbergen
267,Salalah,OM,75.25,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
268,Antalaha,MG,74.19,light rain,-14.9003,50.2788,Hotel Vitasoa
269,Fort Nelson,CA,13.69,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
270,Sarab,IR,42.71,clear sky,38.6066,44.9883,مسجد امام رضا
271,Nome,US,35.67,light rain,64.5011,-165.4064,Dredge 7 Inn
273,Safaga,EG,69.85,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
275,Jumla,NP,51.1,clear sky,29.2747,82.1838,Royal Garden Hotel
276,Kashi,CN,39.06,broken clouds,39.4547,75.9797,帕米尔青年旅舍
280,Canico,PT,68.72,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
281,Asmara,ER,54.16,clear sky,15.3333,38.9333,Hamasien Hotel
283,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
284,Namatanai,PG,84.97,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
285,Casablanca,MA,64.62,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
286,Sao Filipe,CV,78.55,broken clouds,14.8961,-24.4956,Hotel Xaguate
287,Mogadishu,SO,78.93,clear sky,2.0371,45.3438,Aerab hotel
288,Belyy Yar,RU,24.85,clear sky,53.6039,91.3903,Pasportnyy Stol
289,Guerrero Negro,MX,63.36,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
290,Kawalu,ID,83.7,overcast clouds,-7.3817,108.2082,West Jontor
291,Provideniya,RU,32.36,fog,64.3833,-173.3,
292,Abu Zabad,SD,64.29,clear sky,12.35,29.25,حامد محمد نور
293,Katangli,RU,28.33,scattered clouds,51.7102,143.2326,
294,Bonito,BR,66.85,clear sky,-21.1211,-56.4819,Marruá Hotel
295,Carnarvon,AU,68.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
296,Wasilla,US,38.73,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
298,Donskoye,RU,53.73,light rain,45.4552,41.9741,
300,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
301,Saint-Augustin,CA,28.09,snow,51.226,-58.6502,Riverview Inn
302,Beringovskiy,RU,26.15,light snow,63.05,179.3167,
303,Pandan,PH,81.45,overcast clouds,14.0453,124.1694,Bonifacio Lodge
304,Preobrazheniye,RU,48.99,few clouds,42.9019,133.9064,Campsite Orlan
305,Brae,GB,44.91,overcast clouds,60.3964,-1.353,Busta House Hotel
306,Tabas,IR,59.85,overcast clouds,33.5959,56.9244,Arad Ecotourism Residence
307,Taft,IR,54.64,overcast clouds,31.7471,54.2088,عمارت ساعتی تفت
308,Saint Anthony,US,24.75,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
309,Fort-Shevchenko,KZ,46.06,clear sky,44.5086,50.263,Oasis hotel Bautino
310,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
311,Moses Lake,US,32.88,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
313,Mahebourg,MU,75.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
315,San Miguelito,PA,78.89,light rain,9.0333,-79.5,Sheraton Grand Panama
316,Mayumba,GA,74.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
317,San Patricio,US,54.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
318,Luwuk,ID,82.99,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
319,Bondo,CD,68.2,overcast clouds,3.8146,23.6866,
320,Santa Marta De Tormes,ES,47.03,broken clouds,40.9506,-5.6272,Hotel Alameda Palace
321,Hastings,GB,50.79,overcast clouds,50.8552,0.5729,Zanzibar Hotel
322,Samarai,PG,85.84,scattered clouds,-10.6167,150.6667,Nuli Sapi
323,Mitsamiouli,KM,77.74,few clouds,-11.3847,43.2844,Foyer ADM
324,Amberley,US,30.29,overcast clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
325,Santa Rosa,PH,87.12,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
326,Banyuwangi,ID,78.22,overcast clouds,-8.2325,114.3576,SPOT ON 1842 Cevilla Bnb Residence Syariah
327,Aban,RU,12.58,overcast clouds,56.67,96.06,Gostinitsa
328,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
329,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
330,Nouadhibou,MR,71.71,clear sky,20.931,-17.0347,El Medina
332,Buta,CD,70.05,overcast clouds,2.7858,24.73,Hôtel BOPANDO
333,Muros,ES,47.14,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
334,Mobaye,CF,70.7,overcast clouds,4.319,21.1786,
335,Ottersberg,DE,40.12,overcast clouds,53.1,9.15,Bahnhof (e.V.) - Initiative für neues Wohnen
336,Kirovskiy,RU,37.17,scattered clouds,45.0917,133.5136,"Uyut, Gostinitsa"
337,Ivanteyevka,RU,27.34,light snow,55.9711,37.9208,New Slides
338,Yantal,RU,14.04,overcast clouds,56.8471,105.2542,
339,Nauta,PE,71.53,scattered clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
340,Kieta,PG,81.84,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
341,Havre-Saint-Pierre,CA,25.21,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
342,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
344,Joshimath,IN,55.99,clear sky,30.5667,79.5667,Shivalik Camps & Resort | HOTELS IN AULI | RESORT IN AULI | AULI JOSHIMATH HOTELS
345,Genhe,CN,22.69,broken clouds,50.7833,121.5167,Companionship Hotel
346,Imbituba,BR,62.89,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
347,Touros,BR,78.01,few clouds,-5.1989,-35.4608,INN NEW HORIZON
348,Jayanca,PE,63.28,broken clouds,-6.3908,-79.8219,Rancho Santana Horseback Riding
349,Pinega,RU,26.31,light snow,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
351,Chapleau,CA,18.05,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
352,Namibe,AO,69.33,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
353,Peniche,PT,59.56,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
354,Santa Cruz Del Sur,CU,77.52,scattered clouds,20.7147,-77.9956,
355,Soyo,AO,75.65,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
356,Sokoni,TZ,78.66,light rain,-6.4333,39.55,Ujamaa Beach Resort
358,Sorkjosen,NO,35.6,broken clouds,69.8,20.9333,Reisafjord Hotel AS
359,Pacific Grove,US,57.38,clear sky,36.6177,-121.9166,Lovers Point Inn
360,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
361,Ati,TD,72.46,clear sky,13.2154,18.3353,
362,Coahuayana,MX,75.04,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
363,Cockburn Town,TC,81.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
